id,datum,open_meteo_radiation,kmi_radiation_avg,kaggle_radiation_avg
1,2020-01-01 00:00:00,36.3333333333,,
2,2020-01-02 00:00:00,14.1666666667,,
3,2020-01-03 00:00:00,10.8333333333,,
4,2020-01-04 00:00:00,29.4166666667,,
5,2020-01-05 00:00:00,38.2916666667,,
6,2020-01-06 00:00:00,49.3333333333,,
7,2020-01-07 00:00:00,35.1666666667,,
8,2020-01-08 00:00:00,6.7083333333,,
9,2020-01-09 00:00:00,13.25,,
10,2020-01-10 00:00:00,30.375,,
11,2020-01-11 00:00:00,39.6666666667,,
12,2020-01-12 00:00:00,17.625,,
13,2020-01-13 00:00:00,32.125,,
14,2020-01-14 00:00:00,7.9583333333,,
15,2020-01-15 00:00:00,15.625,,
16,2020-01-16 00:00:00,54.0416666667,,
17,2020-01-17 00:00:00,26.25,,
18,2020-01-18 00:00:00,48.75,,
19,2020-01-19 00:00:00,54.5,,
20,2020-01-20 00:00:00,33.5416666667,,
21,2020-01-21 00:00:00,32.9583333333,,
22,2020-01-22 00:00:00,17.5,,
23,2020-01-23 00:00:00,37.3333333333,,
24,2020-01-24 00:00:00,25.4166666667,,
25,2020-01-25 00:00:00,34.2916666667,,
26,2020-01-26 00:00:00,52.5,,
27,2020-01-27 00:00:00,34.9583333333,,
28,2020-01-28 00:00:00,51.2083333333,,
29,2020-01-29 00:00:00,61.5,,
30,2020-01-30 00:00:00,35.625,,
31,2020-01-31 00:00:00,20.9583333333,,
32,2020-02-01 00:00:00,33.375,,
33,2020-02-02 00:00:00,26.125,,
34,2020-02-03 00:00:00,51.25,,
35,2020-02-04 00:00:00,50.7916666667,,
36,2020-02-05 00:00:00,47.2083333333,,
37,2020-02-06 00:00:00,70.0833333333,,
38,2020-02-07 00:00:00,91.2083333333,,
39,2020-02-08 00:00:00,38.4583333333,,
40,2020-02-09 00:00:00,27.5,,
41,2020-02-10 00:00:00,64.9583333333,,
42,2020-02-11 00:00:00,76.0416666667,,
43,2020-02-12 00:00:00,83.2916666667,,
44,2020-02-13 00:00:00,42.125,,
45,2020-02-14 00:00:00,74,,
46,2020-02-15 00:00:00,64.5833333333,,
47,2020-02-16 00:00:00,28.4583333333,,
48,2020-02-17 00:00:00,69.5833333333,,
49,2020-02-18 00:00:00,70.8333333333,,
50,2020-02-19 00:00:00,65.7083333333,,
51,2020-02-20 00:00:00,44,,
52,2020-02-21 00:00:00,68.7083333333,,
53,2020-02-22 00:00:00,28.4166666667,,
54,2020-02-23 00:00:00,10.6666666667,,
55,2020-02-24 00:00:00,24.25,,
56,2020-02-25 00:00:00,90,,
57,2020-02-26 00:00:00,58.25,,
58,2020-02-27 00:00:00,21.125,,
59,2020-02-28 00:00:00,54.6666666667,,
60,2020-02-29 00:00:00,69.5416666667,,
61,2020-03-01 00:00:00,96.5416666667,,
62,2020-03-02 00:00:00,37.875,,
63,2020-03-03 00:00:00,125.375,,
64,2020-03-04 00:00:00,109.7083333333,,
65,2020-03-05 00:00:00,19.625,,
66,2020-03-06 00:00:00,55.125,,
67,2020-03-07 00:00:00,99.8333333333,,
68,2020-03-08 00:00:00,32.6666666667,,
69,2020-03-09 00:00:00,114.4583333333,,
70,2020-03-10 00:00:00,29.8333333333,,
71,2020-03-11 00:00:00,63.3333333333,,
72,2020-03-12 00:00:00,132.125,,
73,2020-03-13 00:00:00,113.25,,
74,2020-03-14 00:00:00,104.75,,
75,2020-03-15 00:00:00,77.9583333333,,
76,2020-03-16 00:00:00,95.7916666667,,
77,2020-03-17 00:00:00,177.5833333333,,
78,2020-03-18 00:00:00,174.7083333333,,
79,2020-03-19 00:00:00,54.5,,
80,2020-03-20 00:00:00,34.125,,
81,2020-03-21 00:00:00,169.5833333333,,
82,2020-03-22 00:00:00,203.7916666667,,
83,2020-03-23 00:00:00,206.9166666667,,
84,2020-03-24 00:00:00,207.2083333333,,
85,2020-03-25 00:00:00,211.875,,
86,2020-03-26 00:00:00,210.5416666667,,
87,2020-03-27 00:00:00,204.4583333333,,
88,2020-03-28 00:00:00,206.1666666667,,
89,2020-03-29 00:00:00,185.9583333333,,
90,2020-03-30 00:00:00,144.25,,
91,2020-03-31 00:00:00,219.375,,
92,2020-04-01 00:00:00,219.5416666667,,
93,2020-04-02 00:00:00,110.0833333333,,
94,2020-04-03 00:00:00,164.125,,
95,2020-04-04 00:00:00,179.875,,
96,2020-04-05 00:00:00,234.6666666667,,
97,2020-04-06 00:00:00,202.7916666667,,
98,2020-04-07 00:00:00,199.0416666667,,
99,2020-04-08 00:00:00,228.75,,
100,2020-04-09 00:00:00,223.9166666667,,
101,2020-04-10 00:00:00,236.9166666667,,
102,2020-04-11 00:00:00,243.5,,
103,2020-04-12 00:00:00,211.875,,
104,2020-04-13 00:00:00,202.875,,
105,2020-04-14 00:00:00,149.2916666667,,
106,2020-04-15 00:00:00,253.125,,
107,2020-04-16 00:00:00,248.9166666667,,
108,2020-04-17 00:00:00,251.2916666667,,
109,2020-04-18 00:00:00,117.0416666667,,
110,2020-04-19 00:00:00,162.9166666667,,
111,2020-04-20 00:00:00,271.7083333333,,
112,2020-04-21 00:00:00,275.6666666667,,
113,2020-04-22 00:00:00,277.625,,
114,2020-04-23 00:00:00,277.2083333333,,
115,2020-04-24 00:00:00,273.4583333333,,
116,2020-04-25 00:00:00,241.8333333333,,
117,2020-04-26 00:00:00,280.2083333333,,
118,2020-04-27 00:00:00,254.875,,
119,2020-04-28 00:00:00,88.5416666667,,
120,2020-04-29 00:00:00,161.0833333333,,
121,2020-04-30 00:00:00,231.1666666667,,
122,2020-05-01 00:00:00,196.2916666667,,
123,2020-05-02 00:00:00,207.5833333333,,
124,2020-05-03 00:00:00,142.4166666667,,
